url,type,verified_type,verified,username,name,id,Profile_Url,OuletPgae,full_url
thegatewaypundit.com,fake,blue,1,gatewaypundit,The Gateway Pundit,19211550,https://twitter.com/gatewaypundit,1,https://www.thegatewaypundit.com/
hannity.com,fake,blue,1,seanhannity,Sean Hannity,41634520,https://twitter.com/seanhannity,1,http://www.hannity.com/
waynedupree.com,fake,,1,WayneDupreeShow,✭ Wayne Dupree ✭,282695161,https://twitter.com/WayneDupreeShow,1,https://waynedupree.com
judicialwatch.org,fake,business,1,JudicialWatch,Judicial Watch ⚖️,18247062,https://twitter.com/JudicialWatch,1,http://www.judicialwatch.org/
truepundit.com,fake,,0,true_pundit,True Pundit,3092154496,https://twitter.com/true_pundit,1,https://www.truepundit.com/
zerohedge.com,fake,none,0,zerohedge,zerohedge,18856867,https://twitter.com/zerohedge,1,https://www.zerohedge.com
davidharrisjr.com,fake,,0,DavidJHarrisJr,David J Harris Jr,3530404094,https://twitter.com/DavidJHarrisJr,1,http://davidharrisjr.com/
politicalflare.com,fake,,0,nicolejames,Nicole Hickman James 🌊,14154145,https://twitter.com/nicolejames,0,https://www.politicalflare.com/
djhjmedia.com,fake,,0,DavidJHarrisJr,David J Harris Jr,3530404094,https://twitter.com/DavidJHarrisJr,1,https://davidharrisjr.store/
rumble.com,fake,business,1,rumblevideo,Rumble - 🏴‍☠️ $RUM,808080314,https://twitter.com/rumblevideo,1,https://rumble.com/
theconservativetreehouse.com,fake,none,0,TheLastRefuge2,TheLastRefuge,594886554,https://twitter.com/TheLastRefuge2,1,http://theconservativetreehouse.com/
oann.com,fake,business,1,OANN,One America News,1209936918,https://twitter.com/OANN,1,https://www.oann.com/
thedcpatriot.com,fake,blue,1,JFlippo1327,Joshua Flippo,49197662,https://twitter.com/JFlippo1327,0,https://thedcpatriot.com/
rt.com,fake,none,1,RT_com,RT,64643056,https://twitter.com/RT_com,1,https://www.rt.com/
wnd.com,fake,,1,worldnetdaily,WND News,43969372,https://twitter.com/worldnetdaily,1,https://www.wnd.com/
gellerreport.com,fake,none,1,PamelaGeller,🇺🇸 Pamela Geller 🇺🇸,15669672,https://twitter.com/PamelaGeller,0,https://gellerreport.com/
nationalfile.com,fake,blue,1,NationalFile,National File,1151261114384171008,https://twitter.com/NationalFile,1,https://www.nationalfile.com/
summit.news,fake,blue,1,PrisonPlanet,Paul Joseph Watson,18643437,https://twitter.com/PrisonPlanet,0,https://summit.news/
breitbart.com,extremely biased right,,1,BreitbartNews,Breitbart News,457984599,https://twitter.com/BreitbartNews,1,https://www.breitbart.com:443/
dailymail.co.uk,extremely biased right,,1,DailyMail,Daily Mail US,380285402,https://twitter.com/DailyMail,1,https://www.dailymail.co.uk/ushome/index.html
bongino.com,extremely biased right,,1,dbongino,Dan Bongino,232901331,https://twitter.com/dbongino,1,https://bongino.com:443/
thenationalpulse.com,extremely biased right,,0,TheNatPulse,The National Pulse ,3066129832,https://twitter.com/TheNatPulse,1,https://thenationalpulse.com/
freebeacon.com,extremely biased right,blue,1,FreeBeacon,Free Beacon,455764741,https://twitter.com/FreeBeacon,1,https://freebeacon.com/
newsmax.com,extremely biased right,business,1,NEWSMAX,NEWSMAX,20545835,https://twitter.com/NEWSMAX,1,https://www.newsmax.com/
pjmedia.com,extremely biased right,,0,PJMedia_com,PJ Media,7597712,https://twitter.com/PJMedia_com,1,https://pjmedia.com/
newsbusters.org,extremely biased right,business,1,theMRC,Media Research Center,20076659,https://twitter.com/theMRC,1,https://www.newsbusters.org/
therightscoop.com,extremely biased right,,0,TheRightScoop,The Right Scoop,212708176,https://twitter.com/TheRightScoop,1,https://www.therightscoop.com/
